SYSTEM,TAG NUMBER,DESCRIPTION,reduced_tag,reduced_desc,col,unit,comment,ENG UNIT,tag_desc_uom
TURBINE UNIT 1,10LCE40CP003X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP003,LCE40CP003X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP003X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP003X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP003_barg
TURBINE UNIT 1,10LCE40CP901.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP901XXX,LCE40CP901.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP901.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP901.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP901XXX_barg
TURBINE UNIT 1,10LCE40CP901X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP901,LCE40CP901X.AV,CONDENSATE PRESSURE TO BYPASS SPRAY,LCE40CP901X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY,1,12,barg,10LCE40CP901X.AV_CONDENSATE PRESSURE TO BYPASS SPRAY LCE40CP901_barg
TURBINE UNIT 1,10MAA10CG001.AV,HP VALVE POSITION MAA10CG001,MAA10CG001.AV,HP VALVE POSITION,MAA10CG001.AV_HP VALVE POSITION,1,12,%,10MAA10CG001.AV_HP VALVE POSITION MAA10CG001_%
TURBINE UNIT 1,10MAA10CP001.AV,STEAM PRESSURE BEHIND TURBINE CONTROL STAGE MAA10CP001,MAA10CP001.AV,STEAM PRESSURE BEHIND TURBINE CONTROL STAGE,MAA10CP001.AV_STEAM PRESSURE BEHIND TURBINE CONTROL STAGE,1,12,barg,10MAA10CP001.AV_STEAM PRESSURE BEHIND TURBINE CONTROL STAGE MAA10CP001_barg
TURBINE UNIT 1,10MAA10CP002.AV,TURBINE EXHAUST STEAM PRESSURE MAA10CP002,MAA10CP002.AV,TURBINE EXHAUST STEAM PRESSURE,MAA10CP002.AV_TURBINE EXHAUST STEAM PRESSURE,1,12,barg,10MAA10CP002.AV_TURBINE EXHAUST STEAM PRESSURE MAA10CP002_barg
TURBINE UNIT 1,10MAA10CP003.AV,TURBINE EXHAUST STEAM PRESSURE MAA10CP003,MAA10CP003.AV,TURBINE EXHAUST STEAM PRESSURE,MAA10CP003.AV_TURBINE EXHAUST STEAM PRESSURE,1,12,barg,10MAA10CP003.AV_TURBINE EXHAUST STEAM PRESSURE MAA10CP003_barg
TURBINE UNIT 1,10MAA10CP004.AV,TURBINE EXHAUST STEAM PRESSURE MAA10CP004,MAA10CP004.AV,TURBINE EXHAUST STEAM PRESSURE,MAA10CP004.AV_TURBINE EXHAUST STEAM PRESSURE,1,12,barg,10MAA10CP004.AV_TURBINE EXHAUST STEAM PRESSURE MAA10CP004_barg
TURBINE UNIT 1,10MAA10CP005.AV,PRESSURE BEHIND TURBINE CONTROL STAGE MAA10CP005,MAA10CP005.AV,PRESSURE BEHIND TURBINE CONTROL STAGE,MAA10CP005.AV_PRESSURE BEHIND TURBINE CONTROL STAGE,1,12,barg,10MAA10CP005.AV_PRESSURE BEHIND TURBINE CONTROL STAGE MAA10CP005_barg
TURBINE UNIT 1,10MAA10CP901.AV,TURBINE EXHAUST PRESSURE 2OO3 MAA10CP901,MAA10CP901.AV,TURBINE EXHAUST PRESSURE 2OO3,MAA10CP901.AV_TURBINE EXHAUST PRESSURE 2OO3,1,12,barg,10MAA10CP901.AV_TURBINE EXHAUST PRESSURE 2OO3 MAA10CP901_barg
TURBINE UNIT 1,10MAA10CP902.AV,PRESSURE BEHIND CONTROL STAGE TRIP VAL MAA10CP902,MAA10CP902.AV,PRESSURE BEHIND CONTROL STAGE TRIP VAL,MAA10CP902.AV_PRESSURE BEHIND CONTROL STAGE TRIP VAL,1,12,barg,10MAA10CP902.AV_PRESSURE BEHIND CONTROL STAGE TRIP VAL MAA10CP902_barg
TURBINE UNIT 1,10MAA10CT001.AV,EXHAUST STEAM TEMPERATURE MAA10CT001,MAA10CT001.AV,EXHAUST STEAM TEMPERATURE,MAA10CT001.AV_EXHAUST STEAM TEMPERATURE,1,12,C,10MAA10CT001.AV_EXHAUST STEAM TEMPERATURE MAA10CT001_C
TURBINE UNIT 1,10MAA10CT002.AV,EXHAUST STEAM TEMPERATURE MAA10CT002,MAA10CT002.AV,EXHAUST STEAM TEMPERATURE,MAA10CT002.AV_EXHAUST STEAM TEMPERATURE,1,12,C,10MAA10CT002.AV_EXHAUST STEAM TEMPERATURE MAA10CT002_C
TURBINE UNIT 1,10MAA10CT003.AV,EXHAUST STEAM TEMPERATURE MAA10CT003,MAA10CT003.AV,EXHAUST STEAM TEMPERATURE,MAA10CT003.AV_EXHAUST STEAM TEMPERATURE,1,12,C,10MAA10CT003.AV_EXHAUST STEAM TEMPERATURE MAA10CT003_C
TURBINE UNIT 1,10MAA10CT011.AV,VALVE CHEST TEMPERATURE MAA10CT011,MAA10CT011.AV,VALVE CHEST TEMPERATURE,MAA10CT011.AV_VALVE CHEST TEMPERATURE,1,12,C,10MAA10CT011.AV_VALVE CHEST TEMPERATURE MAA10CT011_C
TURBINE UNIT 1,10MAA10CT012.AV,TURBINE CASING TEMPERATURE - INSIDE MAA10CT012,MAA10CT012.AV,TURBINE CASING TEMPERATURE - INSIDE,MAA10CT012.AV_TURBINE CASING TEMPERATURE - INSIDE,1,12,C,10MAA10CT012.AV_TURBINE CASING TEMPERATURE - INSIDE MAA10CT012_C
TURBINE UNIT 1,10MAA10CT013.AV,TURBINE CASING TEMPERATURE - CENTER MAA10CT013,MAA10CT013.AV,TURBINE CASING TEMPERATURE - CENTER,MAA10CT013.AV_TURBINE CASING TEMPERATURE - CENTER,1,12,C,10MAA10CT013.AV_TURBINE CASING TEMPERATURE - CENTER MAA10CT013_C
TURBINE UNIT 1,10MAA10CT901.AV,TURBINE CASING TEMPERATURE TURBINE DIFFERENCE-INSIDE/CENTER MAA10CT 901,MAA10CT901.AV,TURBINE CASING TEMPERATURE TURBINE DIFFERENCE-INSIDE/CENTER MAA10CT,MAA10CT901.AV_TURBINE CASING TEMPERATURE TURBINE DIFFERENCE-INSIDE/CENTER MAA10CT,1,12,C,10MAA10CT901.AV_TURBINE CASING TEMPERATURE TURBINE DIFFERENCE-INSIDE/CENTER MAA10CT 901_C
TURBINE UNIT 1,10MAA10CT902.AV,EXHAUST STEAM TEMPERATURE 2003 MAA10CT902,MAA10CT902.AV,EXHAUST STEAM TEMPERATURE 2003,MAA10CT902.AV_EXHAUST STEAM TEMPERATURE 2003,1,12,C,10MAA10CT902.AV_EXHAUST STEAM TEMPERATURE 2003 MAA10CT902_C
TURBINE UNIT 1,10MAD10CG001.AV,TURBINE ROTOR AXIAL DISPLACEMENT MAD10CG001,MAD10CG001.AV,TURBINE ROTOR AXIAL DISPLACEMENT,MAD10CG001.AV_TURBINE ROTOR AXIAL DISPLACEMENT,1,12,mm,10MAD10CG001.AV_TURBINE ROTOR AXIAL DISPLACEMENT MAD10CG001_mm
TURBINE UNIT 1,10MAD10CG002.AV,TURBINE ROTOR AXIAL DISPLACEMENT MAD10CG002,MAD10CG002.AV,TURBINE ROTOR AXIAL DISPLACEMENT,MAD10CG002.AV_TURBINE ROTOR AXIAL DISPLACEMENT,1,12,mm,10MAD10CG002.AV_TURBINE ROTOR AXIAL DISPLACEMENT MAD10CG002_mm
TURBINE UNIT 1,10MAD10CS001.AV,TURBINE SPEED MAD10CS001,MAD10CS001.AV,TURBINE SPEED,MAD10CS001.AV_TURBINE SPEED,1,12,rpm,10MAD10CS001.AV_TURBINE SPEED MAD10CS001_rpm
TURBINE UNIT 1,10MAD10CS002.AV,TURBINE SPEED MAD10CS002,MAD10CS002.AV,TURBINE SPEED,MAD10CS002.AV_TURBINE SPEED,1,12,rpm,10MAD10CS002.AV_TURBINE SPEED MAD10CS002_rpm
TURBINE UNIT 1,10MAD10CS003.AV,TURBINE SPEED MAD10CS003,MAD10CS003.AV,TURBINE SPEED,MAD10CS003.AV_TURBINE SPEED,1,12,rpm,10MAD10CS003.AV_TURBINE SPEED MAD10CS003_rpm
TURBINE UNIT 1,10MAD10CS901.AV,TURBINE SPEED 1OO3 MAD10CS901,MAD10CS901.AV,TURBINE SPEED 1OO3,MAD10CS901.AV_TURBINE SPEED 1OO3,1,12,rpm,10MAD10CS901.AV_TURBINE SPEED 1OO3 MAD10CS901_rpm
